google_index,ratio_digits_url,domain_in_title,phish_hints,ip,nb_qm,length_url,nb_slash,length_hostname,nb_eq,ratio_digits_host,shortest_word_host,prefix_suffix,longest_word_path,tld_in_subdomain,status
1,0.0,0,0,0,0,37,3,19,0,0.0,3,0,6,0,0
1,0.220779221,1,0,1,0,77,5,23,0,0.0,19,0,32,0,1
1,0.150793651,1,0,1,1,126,5,50,3,0.0,3,1,17,1,1
0,0.0,1,0,0,0,18,2,11,0,0.0,5,0,0,0,0
0,0.0,0,0,0,0,55,5,15,0,0.0,3,0,11,0,0
1,0.0,1,0,0,0,32,3,24,0,0.0,3,1,0,0,1
0,0.0,0,0,0,0,19,2,12,0,0.0,3,0,0,0,0
1,0.259259259,1,0,1,0,81,5,27,0,0.0,3,0,32,0,1
0,0.0,1,0,0,0,42,3,34,0,0.0,8,0,0,0,0
0,0.076923077,1,1,0,0,104,6,10,0,0.0,6,0,10,0,0
0,0.0,1,0,0,0,56,4,22,0,0.0,3,0,7,0,0
0,0.186046512,1,0,0,0,43,3,16,0,0.0,3,0,6,0,0
0,0.012048193,1,0,0,0,83,4,14,0,0.0,10,0,10,0,0
1,0.064516129,1,0,0,0,31,3,10,0,0.0,4,0,8,0,1
0,0.0,0,0,0,0,25,3,16,0,0.0,3,0,0,0,0
0,0.019607843,1,0,0,1,51,4,23,1,0.0,4,0,7,0,1
0,0.0,1,0,0,0,31,3,22,0,0.0,3,0,0,0,0
1,0.06,1,0,0,0,50,5,21,0,0.0,4,0,8,0,1
1,0.0,1,0,0,0,34,4,23,0,0.0,3,0,2,0,1
0,0.148148148,1,0,0,0,27,3,19,0,0.210526316,3,0,0,0,0
0,0.0,0,0,0,0,63,7,14,0,0.0,3,1,8,0,0
0,0.0,1,0,0,0,66,4,16,0,0.0,4,0,9,0,0
1,0.1,1,0,0,0,40,5,11,0,0.0,7,0,7,0,1
0,0.0,1,0,0,0,48,4,16,0,0.0,5,1,9,0,0
1,0.095238095,1,0,1,1,126,4,50,3,0.0,3,1,17,1,1
1,0.0,1,0,0,0,41,3,32,0,0.0,8,0,0,0,1
0,0.0,1,0,0,0,36,3,27,0,0.0,3,0,0,0,0
0,0.0,1,0,0,0,72,5,24,0,0.0,3,0,8,0,0
1,0.161764706,1,0,1,0,68,4,42,0,0.0,3,0,15,1,1
1,0.398773006,1,1,1,0,163,3,14,1,0.0,3,0,18,0,1
0,0.0,0,0,0,0,26,3,18,0,0.0,3,0,0,0,0
1,0.34375,1,0,1,0,64,4,17,0,0.0,3,0,32,0,1
1,0.25,1,0,1,0,36,3,28,0,0.321428571,1,0,0,0,1
1,0.0,1,0,0,0,61,6,14,0,0.0,10,0,10,0,1
0,0.212121212,0,0,1,1,66,4,17,1,0.0,5,0,21,0,0
0,0.0,1,0,0,0,35,3,26,0,0.0,3,0,0,0,0
0,0.0,1,0,0,0,113,10,24,1,0.0,20,0,10,0,1
0,0.0,1,0,0,0,41,2,34,0,0.0,2,0,0,0,0
0,0.0,1,0,0,0,23,3,12,0,0.0,1,1,3,0,0
0,0.0,1,1,0,0,31,2,24,0,0.0,5,0,0,0,0
1,0.0,1,4,0,0,84,7,30,0,0.0,26,1,9,0,1
1,0.0,1,0,0,0,29,3,17,0,0.0,4,0,4,0,1
1,0.295918367,1,2,1,0,98,9,26,0,0.0,3,1,32,0,1
0,0.0,0,0,0,0,15,2,8,0,0.0,5,0,0,0,0
0,0.0,0,0,0,0,65,4,22,0,0.0,4,0,9,0,0
